Elevation,Slope,Bulk Density,Clay Particles,Total Nitrogen,Soil pH,Sand Particle,Silt Particles,Organic Carbon Stocks,Drought (mean),Drought (max),Drought (min),LST,Humidity,Precipitation (mean),Precipitation (max),Precipitation (min),NDVI,EVI,FPAR,GPP
2798,23.51348606572172,104,332,2732,56,250,418,69,-140.625,367,-880,15.913047619047632,0.008369526825845242,78.875,236,3,0.5846321167883212,3032.6277372262775,52.132486388384756,0.03086449275362319
1072,38.67083517901634,121,187,1260,66,508,305,61,-44.94444444444444,307,-485,21.837080291970835,0.008282758295536041,28.90277777777778,105,0,0.7903702898550725,3635.1521739130435,61.01633393829401,0.02966413043478261
121,1.8543341688295631,118,337,3176,65,223,439,86,52.388888888888886,512,-277,14.612244897959158,0.006559793371707201,72.88888888888889,171,4,0.7584268115942029,5404.340579710145,54.74773139745916,0.02392536231884058
701,10.416643810641025,142,270,996,74,340,391,27,-80.58333333333333,450,-458,25.375135135135167,0.0054303319193422794,21.65277777777778,69,1,0.24781449275362322,1266.7028985507247,13.889090909090909,0.005783695652173913
40,10.816947074538435,135,99,3539,55,705,196,58,-314.34722222222223,528,-850,14.299406779661012,0.006042263004928827,46.416666666666664,128,9,0.7183248175182482,3687.7664233576643,58.15970961887477,0.02630144927536232
1733,11.253462871054074,134,264,1011,69,357,379,38,-147.41666666666666,230,-373,18.325019011406823,0.00364030827768147,26.125,68,0,0.18535144927536235,881.963768115942,12.209090909090909,0.005131521739130436
1148,3.7525278157265873,146,293,1138,75,317,391,45,-60.5,294,-338,18.770254545454577,0.00499668950214982,25.375,67,2,0.3450021739130435,2112.4565217391305,28.671506352087114,0.014193478260869566
537,0.0,163,515,591,75,201,284,22,-346.69444444444446,310,-1185,43.155182481751865,0.010392994619905949,29.375,265,0,0.245168115942029,1355.3188405797102,17.608775137111518,0.004887318840579711
336,15.502174644465084,147,316,988,57,285,399,48,267.4166666666667,910,-508,18.33494252873561,0.008473542518913746,123.86111111111111,244,10,0.6775804347826088,4241.369565217391,58.92727272727273,0.035212318840579716
431,22.712789819081785,136,296,1978,63,341,363,52,-177.77777777777777,498,-604,16.843215686274505,0.006405285093933344,72.83333333333333,152,3,0.6710340579710146,3807.5289855072465,55.35390199637023,0.026527898550724637
1085,2.338101135228052,140,178,470,80,660,162,16,-176.19444444444446,276,-510,33.13760869565215,0.005058441311120987,19.083333333333332,86,0,0.16696159420289855,873.8840579710145,14.018281535648995,0.0050010869565217395
12,3.0626507545116937,128,309,1083,54,422,270,47,-145.34722222222223,446,-576,27.32477157360404,0.015057467855513096,257.34722222222223,725,0,0.5760942028985507,3328.6376811594205,41.651542649727766,0.022777898550724637
1629,29.68887921809712,108,268,3097,62,338,394,72,-436.02777777777777,-128,-860,12.148345864661621,0.005618247203528881,66.81944444444444,168,1,0.5781724637681159,3869.376811594203,49.08348457350272,0.03366376811594203
1182,15.615803429139463,136,403,1707,73,314,284,57,-3.736111111111111,799,-444,32.63029197080294,0.01026144064962864,54.888888888888886,257,0,0.3743920289855073,2345.557971014493,30.020109689213893,0.019619927536231884
3168,9.936291359438723,95,308,5678,50,389,303,112,-649.5555555555555,-210,-1094,17.389489795918394,0.009791423566639423,118.86111111111111,332,0,0.5535316176470588,3097.3970588235293,39.51005484460695,0.030140579710144926
300,2.2867390695919054,141,166,1136,62,499,335,44,-49.888888888888886,597,-943,27.887594936708865,0.010784192942082882,170.06944444444446,752,0,0.5579985507246378,3470.3623188405795,44.637023593466424,0.02487572463768116
